,Date,Stage,Distance Covered,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,21_1,22_1,23_1
743,18-07-1990,17º stage Distance:,150 km,Road – Stage,"    Lourdes (Midi-Pyrenees), France ","Pau (Aquitaine), France",,Dmitri,Konychev,Russia ,N,,,,,,,53  years,Date of birth:,08-02-1966,Place of birth:,"Moscou (Moscou City), Russia ",Date of death:||Place of death:|,1989-2006,, , ,,,,,,,,Professional:, ,Age:,53  years
744,19-07-1990,18º stage Distance:,202 km,Road – Stage,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France",,Gianni,Bugno,Italy ,N,,,,,,,55  years,Date of birth:,14-02-1964,Place of birth:,"Brugg (Aargau), Switzerland ",Date of death:||Place of death:|,1985-1998,, , ,,,,,,,,Professional:, ,Age:,55  years
745,20-07-1990,19º stage Distance:,182.5 km,Road – Stage,"    Castillon-la-Bataille (Aquitaine), France ","Limoges (Limousin), France",,Guido,Bontempi,Italy ,N,,,,,,,59  years,Date of birth:,12-01-1960,Place of birth:,"Gussago (Lombardia), Italy ",Date of death:||Place of death:|,1981-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
746,21-07-1990,20º stage Distance:,45.5 km,Road – Individual Time Trial,"    Lac de Vassivière (Limousin), France ","Lac de Vassivière (Limousin), France",,Erik,Breukink,The Netherlands ,N,,,,,,,55  years,Date of birth:,01-04-1964,Place of birth:,"Rheden (Gelderland), The Netherlands ",Date of death:||Place of death:|,1985-1997,, , ,,,,,,,,Professional:, ,Age:,55  years
747,22-07-1990,21º stage Distance:,"182,5 km",Road – Stage,"    Brétigney (Franche-Comte), France ","Paris (Ile-de-France), France",,Johan,Museeuw,Belgium ,N,,,,,,,53  years,Date of birth:,13-10-1965,Place of birth:,"Varsenare (West-Vlaanderen), Belgium ",Date of death:||Place of death:|,1988-04/2004,, , ,,,,,,,,Professional:, ,Age:,53  years
748,22-07-1990, Distance:,3449 km,Classification – Road – Points Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Olaf,Ludwig,Germany ,Y,   GDR , 13-04-1960 , 02-10-1990,,,,59  years,Age:,59  years,Date of birth:,13-04-1960,|Place of birth:,"Gera (Thuringen), German Democratic Republik ",Professional:,1990-1997,, , ,,,,,,|Place of birth:,   GDR from 13-04-1960 until 02-10-1990,Gender:, 
749,22-07-1990, Distance:,3449 km,Classification – Road – Mountains Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Thierry,Claveyrolat,France ,N,,,,,,,40 years,Date of birth:,31-03-1959,Place of birth:,"La Tronche (Rhone-Alpes), France ",Date of death:|07-09-1999|Place of death:| ,"    Notre-Dame-de-Mésage (Rhone-Alpes), France",Professional:,1983-1994,, , ,,,,,,Date of death:|07-09-1999|Place of death:| , ,Age:,40 years
750,22-07-1990, Distance:,3449 km,Classification – Road – Young Rider Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Gilles,Delion,France ,N,,,,,,,53  years,Date of birth:,05-08-1966,Place of birth:,"Saint-Etienne (Pays de la Loire), France ",Date of death:||Place of death:|,1988-1996,, , ,,,,,,,,Professional:, ,Age:,53  years
751,22-07-1990, Distance:,3449 km,Classification – Road – General Classification,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,,,,,,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Date of death:||Place of death:|,1981-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
752,01-07-1989,Prologue  Distance:,"6,5 km",Road – Individual Time Trial,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg",,Erik,Breukink,The Netherlands ,N,,,,,,,55  years,Date of birth:,01-04-1964,Place of birth:,"Rheden (Gelderland), The Netherlands ",Date of death:||Place of death:|,1985-1997,, , ,,,,,,,,Professional:, ,Age:,55  years
753,02-07-1989,1º stage Distance:,120 km,Road – Stage,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg",,Acácio,Mora Da Silva,Portugal ,N,,,,,,,58  years,Date of birth:,02-01-1961,Place of birth:,"Montalegre (Vila Real), Portugal ",Date of death:||Place of death:|,1982-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
754,03-07-1989,2º stage Distance:,30 km,Road – Team Time Trial,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg",,Laurent,Fignon,France ,N,,,,,,,50 years,Date of birth:,12-08-1960,Place of birth:,"Paris (Ile-de-France), France ",Date of death:|31-08-2010|Place of death:| ,"    Paris (Ile-de-France), France",Professional:,1982-1993,Commemorations, , ,,,,,,Date of death:|31-08-2010|Place of death:| , ,Age:,50 years
755,03-07-1989,3º stage Distance:,189 km,Road – Stage,"    Luxembourg (Luxembourg), Luxemburg ","Francorchamps (Liege), Belgium",,Raúl,Alcalá Gallegos,Mexico ,N,,,,,,,55  years,Date of birth:,03-03-1964,Place of birth:,"Monterrey (Nuevo Leon), Mexico ",Date of death:||Place of death:|,1986-1994,, , ,,,,,,,,Professional:, ,Age:,55  years
756,04-07-1989,4º stage Distance:,203 km,Road – Stage,"    Liège (Liege), Belgium ","Wasquehal (Nord-Pas-de-Calais), France",,Jelle,Nijdam,The Netherlands ,N,,,,,,,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
757,06-07-1989,5º stage Distance:,79 km,Road – Individual Time Trial,"    Dinard (Bretagne), France ","Rennes (Bretagne), France",,Greg,LeMond,United States of America ,N,,,,,,,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Date of death:||Place of death:|,1981-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
758,07-07-1989,6º stage Distance:,259 km,Road – Stage,"    Rennes (Bretagne), France ","Futuroscope (Poitou-Charentes), France",,Joël,Pelier,France ,N,,,,,,,57  years,Date of birth:,23-03-1962,Place of birth:,"Valentigney (Franche-Comte), France ",Date of death:||Place of death:|,1985-1990,, , ,,,,,,,,Professional:, ,Age:,57  years
759,08-07-1989,7º stage Distance:,259 km,Road – Stage,"    Poitiers (Poitou-Charentes), France ","Bourdeaux (Rhone-Alpes), France",,Etienne,De Wilde,Belgium ,N,,,,,,,61  years,Date of birth:,23-03-1958,Place of birth:,"Wetteren (Oost-Vlaanderen), Belgium ",Date of death:||Place of death:|,1980-2001,, , ,,,,,,,,Professional:, ,Age:,61  years
760,09-07-1989,8º stage Distance:,201 km,Road – Stage,"    Marmande (Aquitaine), France ","Pau (Aquitaine), France",,Martin,Earley,Ireland ,N,,,,,,,57  years,Date of birth:,15-06-1962,Place of birth:,"Dublin (Dublin), Ireland ",Date of death:||Place of death:|,1985-1996,, , ,,,,,,,,Professional:, ,Age:,57  years
761,10-07-1989,9º stage Distance:,202 km,Road – Stage,"    Pau (Aquitaine), France ","Cauterets (Midi-Pyrenees), France",,Miguel Maria,Indurain Larraya,Spain ,N,,,,,,,55  years,Date of birth:,16-07-1964,Place of birth:,"Villava (Navarra), Spain ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,55  years
762,11-07-1989,10º stage Distance:,141 km,Road – Stage,"    Cauterets (Midi-Pyrenees), France ","Superbagnères (Midi-Pyrenees), France",,Robert,Millar,Great Britain ,N,,,,,,,60  years,Date of birth:,13-09-1958,Place of birth:,"Glasgow (Glasgow City), Great Britain ",Date of death:||Place of death:|,1980-1995,, , ,,,,,,,,Professional:, ,Age:,60  years
763,12-07-1989,11º stage Distance:,162 km,Road – Stage,"    Luchon (Midi-Pyrenees), France ","Blagnac (Midi-Pyrenees), France",,Mathieu,Hermans,The Netherlands ,N,,,,,,,56  years,Date of birth:,09-01-1963,Place of birth:,"Goirle (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1993,, , ,,,,,,,,Professional:, ,Age:,56  years
764,13-07-1989,12º stage Distance:,"233,5 km",Road – Stage,"    Toulouse (Midi-Pyrenees), France ","Montpellier (Languedoc-Roussillon), France",,Valerio,Tebaldi,Italy ,N,,,,,,,54  years,Date of birth:,02-07-1965,Place of birth:,"Chiuduno (Lombardia), Italy ",Date of death:||Place of death:|,1988-1999,, , ,,,,,,,,Professional:, ,Age:,54  years
765,14-07-1989,13º stage Distance:,179 km,Road – Stage,"    Montpellier (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France",,Vincent,Barteau,France ,N,,,,,,,57  years,Date of birth:,18-03-1962,Place of birth:,"Caen (Basse-Normandie), France ",Date of death:||Place of death:|,1983-1990,, , ,,,,,,,,Professional:, ,Age:,57  years
766,15-07-1989,14º stage Distance:,234 km,Road – Stage,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France",,Jelle,Nijdam,The Netherlands ,N,,,,,,,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
767,16-07-1989,15º stage Distance:,42 km,Road – Individual Time Trial,"    Gap (Provence-Alpes-Cote d'Azur), France ","Orcières (Provence-Alpes-Cote d'Azur), France",,Steven,Rooks,The Netherlands ,N,,,,,,,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,1982-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
768,18-07-1989,16º stage Distance:,174 km,Road – Stage,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France",,Pascal,Richard,Switzerland ,N,,,,,,,55  years,Date of birth:,16-03-1964,Place of birth:,"Vevey (Vaud), Switzerland ",Date of death:||Place of death:|,1986-2000,, , ,,,,,,,,Professional:, ,Age:,55  years
769,19-07-1989,17º stage Distance:,162 km,Road – Stage,"    Briançon (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France",,Gert-Jan,Theunisse,The Netherlands ,N,,,,,,,56  years,Date of birth:,14-01-1963,Place of birth:,"Oss (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
770,20-07-1989,18º stage Distance:,"90,5 km",Road – Stage,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France",,Laurent,Fignon,France ,N,,,,,,,50 years,Date of birth:,12-08-1960,Place of birth:,"Paris (Ile-de-France), France ",Date of death:|31-08-2010|Place of death:| ,"    Paris (Ile-de-France), France",Professional:,1982-1993,Commemorations, , ,,,,,,Date of death:|31-08-2010|Place of death:| , ,Age:,50 years
771,21-07-1989,19º stage Distance:,124 km,Road – Stage,"    Villard-de-Lans (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France",,Greg,LeMond,United States of America ,N,,,,,,,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Date of death:||Place of death:|,1981-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
772,22-07-1989,20º stage Distance:,110 km,Road – Stage,"    Aix-les-Bains (Rhone-Alpes), France ","L'Isle-d'Abeau (Rhone-Alpes), France",,Giovanni,Fidanza,Italy ,N,,,,,,,53  years,Date of birth:,27-09-1965,Place of birth:,"Bergamo (Lombardia), Italy ",Date of death:||Place of death:|,1989-1997,, , ,,,,,,,,Professional:, ,Age:,53  years
773,23-07-1989,21º stage Distance:,27 km,Road – Individual Time Trial,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,,,,,,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Date of death:||Place of death:|,1981-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
774,23-07-1989, Distance:,3285 km,Classification – Road – General Classification,,"Paris (Ile-de-France), France",,Greg,LeMond,United States of America ,N,,,,,,,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Date of death:||Place of death:|,1981-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
775,23-07-1989, Distance:,3285 km,Classification – Road – Mountains Classification,,"Paris (Ile-de-France), France",,Gert-Jan,Theunisse,The Netherlands ,N,,,,,,,56  years,Date of birth:,14-01-1963,Place of birth:,"Oss (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
776,23-07-1989, Distance:,3285 km,Classification – Road – Young Rider Classification,,"Paris (Ile-de-France), France",,Fabrice,Philipot,France ,N,,,,,,,53  years,Date of birth:,24-09-1965,Place of birth:,"Montbard (Bourgogne), France ",, , ,,,,,,,,,,, ,Age:,53  years
777,23-07-1989, Distance:,3285 km,Classification – Road – Points Classification,,"Paris (Ile-de-France), France",,Sean,Kelly,Ireland ,N,,,,,,,63  years,Date of birth:,24-05-1956,Place of birth:,"Carrick-on-Suir (Tipperary), Ireland ",Date of death:||Place of death:|,1977-1994,, , ,,,,,,,,Professional:, ,Age:,63  years
778,23-07-1989, Distance:,3285 km,Classification – Road – Teams classification,,"Paris (Ile-de-France), France",,Steven,Rooks,The Netherlands ,N,,,,,,,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,1982-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
779,04-07-1988,Prologue  Distance:,1 km,Road – Individual Time Trial,"    Pornichet (Pays de la Loire), France ","La Baule-Escoublac (Pays de la Loire), France",,Guido,Bontempi,Italy ,N,,,,,,,59  years,Date of birth:,12-01-1960,Place of birth:,"Gussago (Lombardia), Italy ",Date of death:||Place of death:|,1981-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
780,04-07-1988,1º stage Distance:,91.5 km,Road – Stage,"    La Haie-Fouassière (Pays de la Loire), France ","Ancenis (Pays de la Loire), France",,Steve,Bauer,Canada ,N,,,,,,,60  years,Date of birth:,12-06-1959,Place of birth:,"Saint Catharines (Ontario), Canada ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,60  years
781,05-07-1988,2º stage Distance:,48 km,Road – Team Time Trial,"    La Haie-Fouassière (Pays de la Loire), France ","Ancenis (Pays de la Loire), France",,Peter,Winnen,The Netherlands ,N,,,,,,,61  years,Date of birth:,05-09-1957,Place of birth:,"Venray (Limburg), The Netherlands ",Date of death:||Place of death:|,1980-1991,, , ,,,,,,,,Professional:, ,Age:,61  years
782,06-07-1988,3º stage Distance:,213.5 km,Road – Stage,"    Nantes (Pays de la Loire), France ","Le Mans (Pays de la Loire), France",,Jean-Paul,Van Poppel,The Netherlands ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
783,06-07-1988,4º stage Distance:,158 km,Road – Stage,"    Le Mans (Pays de la Loire), France ","Évreux (Haute-Normandie), France",,Acácio,Mora Da Silva,Portugal ,N,,,,,,,58  years,Date of birth:,02-01-1961,Place of birth:,"Montalegre (Vila Real), Portugal ",Date of death:||Place of death:|,1982-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
784,07-07-1988,5º stage Distance:,"147,5 km",Road – Stage,"    Neufchâtel-en-Bray (Haute-Normandie), France ","Liévin (Nord-Pas-de-Calais), France",,Jelle,Nijdam,The Netherlands ,N,,,,,,,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
785,08-07-1988,6º stage Distance:,52 km,Road – Individual Time Trial,"    Liévin (Nord-Pas-de-Calais), France ","Wasquehal (Nord-Pas-de-Calais), France",,Sean,Yates,Great Britain ,N,,,,,,,59  years,Date of birth:,18-05-1960,Place of birth:,"Ewell (Surrey), Great Britain ",Date of death:||Place of death:|,1982-1996,, , ,,,,,,,,Professional:, ,Age:,59  years
786,09-07-1988,7º stage Distance:,225.5 km,Road – Stage,"    Wasquehal (Nord-Pas-de-Calais), France ","Reims (Champagne-Ardenne), France",,Valerio,Tebaldi,Italy ,N,,,,,,,54  years,Date of birth:,02-07-1965,Place of birth:,"Chiuduno (Lombardia), Italy ",Date of death:||Place of death:|,1988-1999,, , ,,,,,,,,Professional:, ,Age:,54  years
787,10-07-1988,8º stage Distance:,219 km,Road – Stage,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France",,Rolf,Gölz,Germany ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Bad Schussenried (Baden-Wurttemberg), Germany ",Date of death:||Place of death:|,1985-1993,, , ,,,,,,,,Professional:, ,Age:,56  years
788,11-07-1988,9º stage Distance:,160.5 km,Road – Stage,"    Nancy (Lorraine), France ","Strasbourg (Alsace), France",,Jerôme,Simon,France ,N,,,,,,,58  years,Date of birth:,05-12-1960,Place of birth:,"Troyes (Champagne-Ardenne), France ",Date of death:||Place of death:|,1982-1993,, , ,,,,,,,,Professional:, ,Age:,58  years
789,12-07-1988,10º stage Distance:,149.5 km,Road – Stage,"    Belfort (Franche-Comte), France ","Besançon (Franche-Comte), France",,Jean-Paul,Van Poppel,The Netherlands ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
790,13-07-1988,11º stage Distance:,232 km,Road – Stage,"    Besançon (Franche-Comte), France ","Morzine (Rhone-Alpes), France",,Fabio Enrique,Parra Pinto,Colombia ,N,,,,,,,59  years,Date of birth:,22-11-1959,Place of birth:,"Sogamoso (Boyaca), Colombia ",Date of death:||Place of death:|,1986-1992,, , ,,,,,,,,Professional:, ,Age:,59  years
791,14-07-1988,12º stage Distance:,227 km,Road – Stage,"    Morzine (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France",,Steven,Rooks,The Netherlands ,N,,,,,,,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,1982-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
792,15-07-1988,13º stage Distance:,38 km,Road – Individual Time Trial,"    Grenoble (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France",,Pedro,Delgado Robledo,Spain ,N,,,,,,,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Date of death:||Place of death:|,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,,Professional:, ,Age:,59  years
793,17-07-1988,14º stage Distance:,163 km,Road – Stage,"    Blagnac (Midi-Pyrenees), France ","Guzet Neige (Provence-Alpes-Cote d'Azur), France",,Pedro,Delgado Robledo,Spain ,N,,,,,,,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Date of death:||Place of death:|,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,,Professional:, ,Age:,59  years
794,18-07-1988,15º stage Distance:,187.5 km,Road – Stage,"    Saint-Girons (Midi-Pyrenees), France ","Luz (Midi-Pyrenees), France",,Laudelino,Cubino González,Spain ,N,,,,,,,56  years,Date of birth:,31-05-1963,Place of birth:,"Béjar (Castilla y Leon), Spain ",Date of death:||Place of death:|,1986-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
795,19-07-1988,16º stage Distance:,38 km,Road – Stage,"    Tarbes (Midi-Pyrenees), France ","Pau (Aquitaine), France",,Adrie,Van Der Poel,The Netherlands ,N,,,,,,,60  years,Date of birth:,17-06-1959,Place of birth:,"Bergen op Zoom (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1981-2000,, , ,,,,,,,,Professional:, ,Age:,60  years
796,19-07-1988,17º stage Distance:,210 km,Road – Stage,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France",,Jean-Paul,Van Poppel,The Netherlands ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
797,20-07-1988,18º stage Distance:,93.5 km,Road – Stage,"    Ruelle-sur-Touvre (Poitou-Charentes), France ","Limoges (Limousin), France",,Gianni,Bugno,Italy ,N,,,,,,,55  years,Date of birth:,14-02-1964,Place of birth:,"Brugg (Aargau), Switzerland ",Date of death:||Place of death:|,1985-1998,, , ,,,,,,,,Professional:, ,Age:,55  years
798,21-07-1988,19º stage Distance:,188 km,Road – Stage,"    Limoges (Limousin), France ","Puy de Dôme (Auvergne), France",,Johnny,Weltz,Denmark ,N,,,,,,,57  years,Date of birth:,20-03-1962,Place of birth:,"København (Hovedstaden), Denmark ",Date of death:||Place of death:|,1987-1995,, , ,,,,,,,,Professional:, ,Age:,57  years
799,22-07-1988,20º stage Distance:,223.5 km,Road – Stage,"    Clermont-Ferrand (Auvergne), France ","Chalon-sur-Saône (Bourgogne), France",,Thierry,Marie,France ,N,,,,,,,56  years,Date of birth:,25-06-1963,Place of birth:,"Bénouville (Basse-Normandie), France ",Date of death:||Place of death:|,1985-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
800,23-07-1988,21º stage Distance:,46 km,Road – Individual Time Trial,"    Santenay (Bourgogne), France ","Santenay (Bourgogne), France",,Juan,Martínez Oliver,Spain ,N,,,,,,,55  years,Date of birth:,04-02-1964,Place of birth:,"Almería (Andalucia), Spain ",Date of death:||Place of death:|,1984-1995,, , ,,,,,,,,Professional:, ,Age:,55  years
801,24-07-1988,22º stage Distance:,172.5 km,Road – Stage,"    Nemours (Ile-de-France), France ","Paris (Ile-de-France), France",,Jean-Paul,Van Poppel,The Netherlands ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
802,24-07-1988, Distance:,3282 km,Classification – Road – Mountains Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Steven,Rooks,The Netherlands ,N,,,,,,,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,1982-1995,, , ,,,,,,,,Professional:, ,Age:,59  years
803,24-07-1988, Distance:,3282 km,Classification – Road – General Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Pedro,Delgado Robledo,Spain ,N,,,,,,,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Date of death:||Place of death:|,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,,Professional:, ,Age:,59  years
804,24-07-1988, Distance:,3282 km,Classification – Road – Young Rider Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Erik,Breukink,The Netherlands ,N,,,,,,,55  years,Date of birth:,01-04-1964,Place of birth:,"Rheden (Gelderland), The Netherlands ",Date of death:||Place of death:|,1985-1997,, , ,,,,,,,,Professional:, ,Age:,55  years
805,24-07-1988, Distance:,3282 km,Classification – Road – Points Classification,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France",,Eddy,Planckaert,Belgium ,N,,,,,,,60  years,Date of birth:,22-09-1958,Place of birth:,"Nevele (Oost-Vlaanderen), Belgium ",Date of death:||Place of death:|,1980-1991,, , ,,,,,,,,Professional:, ,Age:,60  years
806,01-07-1987,Prologue  Distance:,"6,1 km",Road – Individual Time Trial,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany",,Jelle,Nijdam,The Netherlands ,N,,,,,,,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1984-1996,, , ,,,,,,,,Professional:, ,Age:,56  years
807,02-07-1987,1º stage Distance:,"105,5 km",Road – Stage,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany",,Nico,Verhoeven,The Netherlands ,N,,,,,,,57  years,Date of birth:,02-10-1961,Place of birth:,"Berkel-Enschot (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,57  years
808,02-07-1987,2º stage Distance:,"40,5 km",Road – Team Time Trial,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany",,Stephen,Roche,Ireland ,N,,,,,,,59  years,Date of birth:,28-11-1959,Place of birth:,"Dundrum (Dublin), Ireland ",Date of death:||Place of death:|,1982-1993,, , ,,,,,,,,Professional:, ,Age:,59  years
809,04-07-1987,3º stage Distance:,219 km,Road – Stage,"    Karlsruhe (Baden-Wurttemberg), Germany ","Stuttgart (Baden-Wurttemberg), Germany",,Acácio,Mora Da Silva,Portugal ,N,,,,,,,58  years,Date of birth:,02-01-1961,Place of birth:,"Montalegre (Vila Real), Portugal ",Date of death:||Place of death:|,1982-1994,, , ,,,,,,,,Professional:, ,Age:,58  years
810,05-07-1987,4º stage Distance:,79 km,Road – Stage,"    Stuttgart (Baden-Wurttemberg), West-Germany ","Pforzheim (Baden-Wurttemberg), West-Germany",,Herman,Frison,Belgium ,N,,,,,,,58  years,Date of birth:,16-04-1961,Place of birth:,"Geel (Antwerpen), Belgium ",Date of death:||Place of death:|,1983-1996,, , ,,,,,,,,Professional:, ,Age:,58  years
811,05-07-1987,5º stage Distance:,"112,5 km",Road – Stage,"    Pforzheim (Baden-Wurttemberg), West-Germany ","Strasbourg (Alsace), France",,Marc,Sergeant,Belgium ,N,,,,,,,60  years,Date of birth:,16-08-1959,Place of birth:,"Aalst (Oost-Vlaanderen), Belgium ",Date of death:||Place of death:|,1981-1996,, , ,,,,,,,,Professional:, ,Age:,60  years
812,06-07-1987,6º stage Distance:,179 km,Road – Stage,"    Strasbourg (Alsace), France ","Épinal (Lorraine), France",,Christophe,Lavainne,France ,N,,,,,,,55  years,Date of birth:,22-12-1963,Place of birth:,"Châteaudun (Centre), France ",Date of death:||Place of death:|,1984-1994,, , ,,,,,,,,Professional:, ,Age:,55  years
813,07-07-1987,7º stage Distance:,211 km,Road – Stage,"    Épinal (Lorraine), France ","Troyes (Champagne-Ardenne), France",,Manuel Jorge,Domínguez Díaz,Spain ,N,,,,,,,56  years,Date of birth:,08-12-1962,Place of birth:,"Barredo (Asturias), Spain ",Date of death:||Place of death:|,1985-1992,, , ,,,,,,,,Professional:, ,Age:,56  years
814,08-07-1987,8º stage Distance:,"205,5 km",Road – Stage,"    Troyes (Champagne-Ardenne), France ","Épinay-sous-Sénart (Ile-de-France), France",,Jean-Paul,Van Poppel,The Netherlands ,N,,,,,,,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1985-1995,, , ,,,,,,,,Professional:, ,Age:,56  years
815,09-07-1987,9º stage Distance:,260 km,Road – Stage,"    Orléans (Centre), France ","Renazé (Pays de la Loire), France",,Adrie,Van Der Poel,The Netherlands ,N,,,,,,,60  years,Date of birth:,17-06-1959,Place of birth:,"Bergen op Zoom (Noord-Brabant), The Netherlands ",Date of death:||Place of death:|,1981-2000,, , ,,,,,,,,Professional:, ,Age:,60  years
