,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
765,Date:,14-07-1989,13º stage Distance:,179 km,Road – Stage,          Departure:,"    Montpellier (Languedoc-Roussillon), France ",              Arrival:,"Marseille (Provence-Alpes-Cote d'Azur), France",,,,Name:,Vincent,Family name:,Barteau,Nationality:,France ,Gender:, ,Age:,57  years,Date of birth:,18-03-1962,Place of birth:,"Caen (Basse-Normandie), France ",Professional:,1983-1990,, , ,,,,,,,
766,Date:,15-07-1989,14º stage Distance:,234 km,Road – Stage,          Departure:,"    Marseille (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Gap (Provence-Alpes-Cote d'Azur), France",,,,Name:,Jelle,Family name:,Nijdam,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Professional:,1984-1996,, , ,,,,,,,
767,Date:,16-07-1989,15º stage Distance:,42 km,Road – Individual Time Trial,          Departure:,"    Gap (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Orcières (Provence-Alpes-Cote d'Azur), France",,,,Name:,Steven,Family name:,Rooks,Nationality:,The Netherlands ,Gender:, ,Age:,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Professional:,1982-1995,, , ,,,,,,,
768,Date:,18-07-1989,16º stage Distance:,174 km,Road – Stage,          Departure:,"    Gap (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Briançon (Provence-Alpes-Cote d'Azur), France",,,,Name:,Pascal,Family name:,Richard,Nationality:,Switzerland ,Gender:, ,Age:,55  years,Date of birth:,16-03-1964,Place of birth:,"Vevey (Vaud), Switzerland ",Professional:,1986-2000,, , ,,,,,,,
769,Date:,19-07-1989,17º stage Distance:,162 km,Road – Stage,          Departure:,"    Briançon (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"L'Alpe-d'Huez (Rhone-Alpes), France",,,,Name:,Gert-Jan,Family name:,Theunisse,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,14-01-1963,Place of birth:,"Oss (Noord-Brabant), The Netherlands ",Professional:,1984-1995,, , ,,,,,,,
770,Date:,20-07-1989,18º stage Distance:,"90,5 km",Road – Stage,          Departure:,"    Le Bourg-d'Oisans (Rhone-Alpes), France ",              Arrival:,"Villard-de-Lans (Rhone-Alpes), France",,,,Name:,Laurent,Family name:,Fignon,Nationality:,France ,Gender:, ,Age:,50 years,Date of birth:,12-08-1960,Place of birth:,"Paris (Ile-de-France), France ",Date of death:31-08-2010Place of death: ,"    Paris (Ile-de-France), France",Professional:,1982-1993,Commemorations, , ,,,,,
771,Date:,21-07-1989,19º stage Distance:,124 km,Road – Stage,          Departure:,"    Villard-de-Lans (Rhone-Alpes), France ",              Arrival:,"Aix-les-Bains (Rhone-Alpes), France",,,,Name:,Greg,Family name:,LeMond,Nationality:,United States of America ,Gender:, ,Age:,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Professional:,1981-1994,, , ,,,,,,,
772,Date:,22-07-1989,20º stage Distance:,110 km,Road – Stage,          Departure:,"    Aix-les-Bains (Rhone-Alpes), France ",              Arrival:,"L'Isle-d'Abeau (Rhone-Alpes), France",,,,Name:,Giovanni,Family name:,Fidanza,Nationality:,Italy ,Gender:, ,Age:,53  years,Date of birth:,27-09-1965,Place of birth:,"Bergamo (Lombardia), Italy ",Professional:,1989-1997,, , ,,,,,,,
773,Date:,23-07-1989,21º stage Distance:,27 km,Road – Individual Time Trial,          Departure:,"    Versailles (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Greg,Family name:,LeMond,Nationality:,United States of America ,Gender:, ,Age:,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Professional:,1981-1994,, , ,,,,,,,
774,Date:,23-07-1989, Distance:,3285 km,Classification – Road – General Classification,          Departure:,,              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Greg,Family name:,LeMond,Nationality:,United States of America ,Gender:, ,Age:,58  years,Date of birth:,26-06-1961,Place of birth:,"Lakewood (California), United States of America ",Professional:,1981-1994,, , ,,,,,,,
775,Date:,23-07-1989, Distance:,3285 km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Gert-Jan,Family name:,Theunisse,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,14-01-1963,Place of birth:,"Oss (Noord-Brabant), The Netherlands ",Professional:,1984-1995,, , ,,,,,,,
776,Date:,23-07-1989, Distance:,3285 km,Classification – Road – Young Rider Classification,          Departure:,,              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Fabrice,Family name:,Philipot,Nationality:,France ,Gender:, ,Age:,53  years,Date of birth:,24-09-1965,Place of birth:,"Montbard (Bourgogne), France ",, , ,,,,,,,,,
777,Date:,23-07-1989, Distance:,3285 km,Classification – Road – Points Classification,          Departure:,,              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Sean,Family name:,Kelly,Nationality:,Ireland ,Gender:, ,Age:,63  years,Date of birth:,24-05-1956,Place of birth:,"Carrick-on-Suir (Tipperary), Ireland ",Professional:,1977-1994,, , ,,,,,,,
778,Date:,23-07-1989, Distance:,3285 km,Classification – Road – Teams classification,          Departure:,,              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Steven,Family name:,Rooks,Nationality:,The Netherlands ,Gender:, ,Age:,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Professional:,1982-1995,, , ,,,,,,,
779,Date:,04-07-1988,Prologue  Distance:,1 km,Road – Individual Time Trial,          Departure:,"    Pornichet (Pays de la Loire), France ",              Arrival:,"La Baule-Escoublac (Pays de la Loire), France",,,,Name:,Guido,Family name:,Bontempi,Nationality:,Italy ,Gender:, ,Age:,59  years,Date of birth:,12-01-1960,Place of birth:,"Gussago (Lombardia), Italy ",Professional:,1981-1995,, , ,,,,,,,
780,Date:,04-07-1988,1º stage Distance:,91.5 km,Road – Stage,          Departure:,"    La Haie-Fouassière (Pays de la Loire), France ",              Arrival:,"Ancenis (Pays de la Loire), France",,,,Name:,Steve,Family name:,Bauer,Nationality:,Canada ,Gender:, ,Age:,60  years,Date of birth:,12-06-1959,Place of birth:,"Saint Catharines (Ontario), Canada ",Professional:,1984-1996,, , ,,,,,,,
781,Date:,05-07-1988,2º stage Distance:,48 km,Road – Team Time Trial,          Departure:,"    La Haie-Fouassière (Pays de la Loire), France ",              Arrival:,"Ancenis (Pays de la Loire), France",,,,Name:,Peter,Family name:,Winnen,Nationality:,The Netherlands ,Gender:, ,Age:,61  years,Date of birth:,05-09-1957,Place of birth:,"Venray (Limburg), The Netherlands ",Professional:,1980-1991,, , ,,,,,,,
782,Date:,06-07-1988,3º stage Distance:,213.5 km,Road – Stage,          Departure:,"    Nantes (Pays de la Loire), France ",              Arrival:,"Le Mans (Pays de la Loire), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
783,Date:,06-07-1988,4º stage Distance:,158 km,Road – Stage,          Departure:,"    Le Mans (Pays de la Loire), France ",              Arrival:,"Évreux (Haute-Normandie), France",,,,Name:,Acácio,Family name:,Mora Da Silva,Nationality:,Portugal ,Gender:, ,Age:,58  years,Date of birth:,02-01-1961,Place of birth:,"Montalegre (Vila Real), Portugal ",Professional:,1982-1994,, , ,,,,,,,
784,Date:,07-07-1988,5º stage Distance:,"147,5 km",Road – Stage,          Departure:,"    Neufchâtel-en-Bray (Haute-Normandie), France ",              Arrival:,"Liévin (Nord-Pas-de-Calais), France",,,,Name:,Jelle,Family name:,Nijdam,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Professional:,1984-1996,, , ,,,,,,,
785,Date:,08-07-1988,6º stage Distance:,52 km,Road – Individual Time Trial,          Departure:,"    Liévin (Nord-Pas-de-Calais), France ",              Arrival:,"Wasquehal (Nord-Pas-de-Calais), France",,,,Name:,Sean,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,59  years,Date of birth:,18-05-1960,Place of birth:,"Ewell (Surrey), Great Britain ",Professional:,1982-1996,, , ,,,,,,,
786,Date:,09-07-1988,7º stage Distance:,225.5 km,Road – Stage,          Departure:,"    Wasquehal (Nord-Pas-de-Calais), France ",              Arrival:,"Reims (Champagne-Ardenne), France",,,,Name:,Valerio,Family name:,Tebaldi,Nationality:,Italy ,Gender:, ,Age:,54  years,Date of birth:,02-07-1965,Place of birth:,"Chiuduno (Lombardia), Italy ",Professional:,1988-1999,, , ,,,,,,,
787,Date:,10-07-1988,8º stage Distance:,219 km,Road – Stage,          Departure:,"    Reims (Champagne-Ardenne), France ",              Arrival:,"Nancy (Lorraine), France",,,,Name:,Rolf,Family name:,Gölz,Nationality:,Germany ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Bad Schussenried (Baden-Wurttemberg), Germany ",Professional:,1985-1993,, , ,,,,,,,
788,Date:,11-07-1988,9º stage Distance:,160.5 km,Road – Stage,          Departure:,"    Nancy (Lorraine), France ",              Arrival:,"Strasbourg (Alsace), France",,,,Name:,Jerôme,Family name:,Simon,Nationality:,France ,Gender:, ,Age:,58  years,Date of birth:,05-12-1960,Place of birth:,"Troyes (Champagne-Ardenne), France ",Professional:,1982-1993,, , ,,,,,,,
789,Date:,12-07-1988,10º stage Distance:,149.5 km,Road – Stage,          Departure:,"    Belfort (Franche-Comte), France ",              Arrival:,"Besançon (Franche-Comte), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
790,Date:,13-07-1988,11º stage Distance:,232 km,Road – Stage,          Departure:,"    Besançon (Franche-Comte), France ",              Arrival:,"Morzine (Rhone-Alpes), France",,,,Name:,Fabio Enrique,Family name:,Parra Pinto,Nationality:,Colombia ,Gender:, ,Age:,59  years,Date of birth:,22-11-1959,Place of birth:,"Sogamoso (Boyaca), Colombia ",Professional:,1986-1992,, , ,,,,,,,
791,Date:,14-07-1988,12º stage Distance:,227 km,Road – Stage,          Departure:,"    Morzine (Rhone-Alpes), France ",              Arrival:,"L'Alpe-d'Huez (Rhone-Alpes), France",,,,Name:,Steven,Family name:,Rooks,Nationality:,The Netherlands ,Gender:, ,Age:,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Professional:,1982-1995,, , ,,,,,,,
792,Date:,15-07-1988,13º stage Distance:,38 km,Road – Individual Time Trial,          Departure:,"    Grenoble (Rhone-Alpes), France ",              Arrival:,"Villard-de-Lans (Rhone-Alpes), France",,,,Name:,Pedro,Family name:,Delgado Robledo,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Professional:,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,
793,Date:,17-07-1988,14º stage Distance:,163 km,Road – Stage,          Departure:,"    Blagnac (Midi-Pyrenees), France ",              Arrival:,"Guzet Neige (Provence-Alpes-Cote d'Azur), France",,,,Name:,Pedro,Family name:,Delgado Robledo,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Professional:,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,
794,Date:,18-07-1988,15º stage Distance:,187.5 km,Road – Stage,          Departure:,"    Saint-Girons (Midi-Pyrenees), France ",              Arrival:,"Luz (Midi-Pyrenees), France",,,,Name:,Laudelino,Family name:,Cubino González,Nationality:,Spain ,Gender:, ,Age:,56  years,Date of birth:,31-05-1963,Place of birth:,"Béjar (Castilla y Leon), Spain ",Professional:,1986-1996,, , ,,,,,,,
795,Date:,19-07-1988,16º stage Distance:,38 km,Road – Stage,          Departure:,"    Tarbes (Midi-Pyrenees), France ",              Arrival:,"Pau (Aquitaine), France",,,,Name:,Adrie,Family name:,Van Der Poel,Nationality:,The Netherlands ,Gender:, ,Age:,60  years,Date of birth:,17-06-1959,Place of birth:,"Bergen op Zoom (Noord-Brabant), The Netherlands ",Professional:,1981-2000,, , ,,,,,,,
796,Date:,19-07-1988,17º stage Distance:,210 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Bordeaux (Aquitaine), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
797,Date:,20-07-1988,18º stage Distance:,93.5 km,Road – Stage,          Departure:,"    Ruelle-sur-Touvre (Poitou-Charentes), France ",              Arrival:,"Limoges (Limousin), France",,,,Name:,Gianni,Family name:,Bugno,Nationality:,Italy ,Gender:, ,Age:,55  years,Date of birth:,14-02-1964,Place of birth:,"Brugg (Aargau), Switzerland ",Professional:,1985-1998,, , ,,,,,,,
798,Date:,21-07-1988,19º stage Distance:,188 km,Road – Stage,          Departure:,"    Limoges (Limousin), France ",              Arrival:,"Puy de Dôme (Auvergne), France",,,,Name:,Johnny,Family name:,Weltz,Nationality:,Denmark ,Gender:, ,Age:,57  years,Date of birth:,20-03-1962,Place of birth:,"København (Hovedstaden), Denmark ",Professional:,1987-1995,, , ,,,,,,,
799,Date:,22-07-1988,20º stage Distance:,223.5 km,Road – Stage,          Departure:,"    Clermont-Ferrand (Auvergne), France ",              Arrival:,"Chalon-sur-Saône (Bourgogne), France",,,,Name:,Thierry,Family name:,Marie,Nationality:,France ,Gender:, ,Age:,56  years,Date of birth:,25-06-1963,Place of birth:,"Bénouville (Basse-Normandie), France ",Professional:,1985-1996,, , ,,,,,,,
800,Date:,23-07-1988,21º stage Distance:,46 km,Road – Individual Time Trial,          Departure:,"    Santenay (Bourgogne), France ",              Arrival:,"Santenay (Bourgogne), France",,,,Name:,Juan,Family name:,Martínez Oliver,Nationality:,Spain ,Gender:, ,Age:,55  years,Date of birth:,04-02-1964,Place of birth:,"Almería (Andalucia), Spain ",Professional:,1984-1995,, , ,,,,,,,
801,Date:,24-07-1988,22º stage Distance:,172.5 km,Road – Stage,          Departure:,"    Nemours (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
802,Date:,24-07-1988, Distance:,3282 km,Classification – Road – Mountains Classification,          Departure:,"    Pornichet (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Steven,Family name:,Rooks,Nationality:,The Netherlands ,Gender:, ,Age:,59  years,Date of birth:,07-08-1960,Place of birth:,"Oterleek (Noord-Holland), The Netherlands ",Professional:,1982-1995,, , ,,,,,,,
803,Date:,24-07-1988, Distance:,3282 km,Classification – Road – General Classification,          Departure:,"    Pornichet (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Pedro,Family name:,Delgado Robledo,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Professional:,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,
804,Date:,24-07-1988, Distance:,3282 km,Classification – Road – Young Rider Classification,          Departure:,"    Pornichet (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Erik,Family name:,Breukink,Nationality:,The Netherlands ,Gender:, ,Age:,55  years,Date of birth:,01-04-1964,Place of birth:,"Rheden (Gelderland), The Netherlands ",Professional:,1985-1997,, , ,,,,,,,
805,Date:,24-07-1988, Distance:,3282 km,Classification – Road – Points Classification,          Departure:,"    Pornichet (Pays de la Loire), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Eddy,Family name:,Planckaert,Nationality:,Belgium ,Gender:, ,Age:,60  years,Date of birth:,22-09-1958,Place of birth:,"Nevele (Oost-Vlaanderen), Belgium ",Professional:,1980-1991,, , ,,,,,,,
806,Date:,01-07-1987,Prologue  Distance:,"6,1 km",Road – Individual Time Trial,          Departure:,"    Berlin (Berlin), West-Germany ",              Arrival:,"Berlin (Berlin), West-Germany",,,,Name:,Jelle,Family name:,Nijdam,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,16-08-1963,Place of birth:,"Zundert (Noord-Brabant), The Netherlands ",Professional:,1984-1996,, , ,,,,,,,
807,Date:,02-07-1987,1º stage Distance:,"105,5 km",Road – Stage,          Departure:,"    Berlin (Berlin), West-Germany ",              Arrival:,"Berlin (Berlin), West-Germany",,,,Name:,Nico,Family name:,Verhoeven,Nationality:,The Netherlands ,Gender:, ,Age:,57  years,Date of birth:,02-10-1961,Place of birth:,"Berkel-Enschot (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
808,Date:,02-07-1987,2º stage Distance:,"40,5 km",Road – Team Time Trial,          Departure:,"    Berlin (Berlin), West-Germany ",              Arrival:,"Berlin (Berlin), West-Germany",,,,Name:,Stephen,Family name:,Roche,Nationality:,Ireland ,Gender:, ,Age:,59  years,Date of birth:,28-11-1959,Place of birth:,"Dundrum (Dublin), Ireland ",Professional:,1982-1993,, , ,,,,,,,
809,Date:,04-07-1987,3º stage Distance:,219 km,Road – Stage,          Departure:,"    Karlsruhe (Baden-Wurttemberg), Germany ",              Arrival:,"Stuttgart (Baden-Wurttemberg), Germany",,,,Name:,Acácio,Family name:,Mora Da Silva,Nationality:,Portugal ,Gender:, ,Age:,58  years,Date of birth:,02-01-1961,Place of birth:,"Montalegre (Vila Real), Portugal ",Professional:,1982-1994,, , ,,,,,,,
810,Date:,05-07-1987,4º stage Distance:,79 km,Road – Stage,          Departure:,"    Stuttgart (Baden-Wurttemberg), West-Germany ",              Arrival:,"Pforzheim (Baden-Wurttemberg), West-Germany",,,,Name:,Herman,Family name:,Frison,Nationality:,Belgium ,Gender:, ,Age:,58  years,Date of birth:,16-04-1961,Place of birth:,"Geel (Antwerpen), Belgium ",Professional:,1983-1996,, , ,,,,,,,
811,Date:,05-07-1987,5º stage Distance:,"112,5 km",Road – Stage,          Departure:,"    Pforzheim (Baden-Wurttemberg), West-Germany ",              Arrival:,"Strasbourg (Alsace), France",,,,Name:,Marc,Family name:,Sergeant,Nationality:,Belgium ,Gender:, ,Age:,60  years,Date of birth:,16-08-1959,Place of birth:,"Aalst (Oost-Vlaanderen), Belgium ",Professional:,1981-1996,, , ,,,,,,,
812,Date:,06-07-1987,6º stage Distance:,179 km,Road – Stage,          Departure:,"    Strasbourg (Alsace), France ",              Arrival:,"Épinal (Lorraine), France",,,,Name:,Christophe,Family name:,Lavainne,Nationality:,France ,Gender:, ,Age:,55  years,Date of birth:,22-12-1963,Place of birth:,"Châteaudun (Centre), France ",Professional:,1984-1994,, , ,,,,,,,
813,Date:,07-07-1987,7º stage Distance:,211 km,Road – Stage,          Departure:,"    Épinal (Lorraine), France ",              Arrival:,"Troyes (Champagne-Ardenne), France",,,,Name:,Manuel Jorge,Family name:,Domínguez Díaz,Nationality:,Spain ,Gender:, ,Age:,56  years,Date of birth:,08-12-1962,Place of birth:,"Barredo (Asturias), Spain ",Professional:,1985-1992,, , ,,,,,,,
814,Date:,08-07-1987,8º stage Distance:,"205,5 km",Road – Stage,          Departure:,"    Troyes (Champagne-Ardenne), France ",              Arrival:,"Épinay-sous-Sénart (Ile-de-France), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
815,Date:,09-07-1987,9º stage Distance:,260 km,Road – Stage,          Departure:,"    Orléans (Centre), France ",              Arrival:,"Renazé (Pays de la Loire), France",,,,Name:,Adrie,Family name:,Van Der Poel,Nationality:,The Netherlands ,Gender:, ,Age:,60  years,Date of birth:,17-06-1959,Place of birth:,"Bergen op Zoom (Noord-Brabant), The Netherlands ",Professional:,1981-2000,, , ,,,,,,,
816,Date:,10-07-1987,10º stage Distance:,"87,5 km",Road – Individual Time Trial,          Departure:,"    Saumur (Pays de la Loire), France ",              Arrival:,"Futuroscope (Poitou-Charentes), France",,,,Name:,Stephen,Family name:,Roche,Nationality:,Ireland ,Gender:, ,Age:,59  years,Date of birth:,28-11-1959,Place of birth:,"Dundrum (Dublin), Ireland ",Professional:,1982-1993,, , ,,,,,,,
817,Date:,11-07-1987,11º stage Distance:,255 km,Road – Stage,          Departure:,"    Poitiers (Poitou-Charentes), France ",              Arrival:,"Chaumeil (Limousin), France",,,,Name:,Martial,Family name:,Gayant,Nationality:,France ,Gender:, ,Age:,56  years,Date of birth:,16-11-1962,Place of birth:,"Chauny (Picardie), France ",Professional:,1982-1992,, , ,,,,,,,
818,Date:,12-07-1987,12º stage Distance:,228 km,Road – Stage,          Departure:,"    Brive-la-Gaillarde (Limousin), France ",              Arrival:,"Bordeaux (Aquitaine), France",,,,Name:,Davis,Family name:,Phinney,Nationality:,United States of America ,Gender:, ,Age:,60  years,Date of birth:,10-07-1959,Place of birth:,"Boulder (Colorado), United States of America ",Professional:,1985-1993,, , ,,,,,,,
819,Date:,13-07-1987,13º stage Distance:,219 km,Road – Stage,          Departure:,"    Bayonne (Aquitaine), France ",              Arrival:,"Pau (Aquitaine), France",,,,Name:,Erik,Family name:,Breukink,Nationality:,The Netherlands ,Gender:, ,Age:,55  years,Date of birth:,01-04-1964,Place of birth:,"Rheden (Gelderland), The Netherlands ",Professional:,1985-1997,, , ,,,,,,,
820,Date:,14-07-1987,14º stage Distance:,166 km,Road – Stage,          Departure:,"    Pau (Aquitaine), France ",              Arrival:,"Luz (Midi-Pyrenees), France",,,,Name:,Dag Otto,Family name:,Lauritzen,Nationality:,Norway ,Gender:, ,Age:,62  years,Date of birth:,12-09-1956,Place of birth:,"Grimstad (Aust-Agder), Norway ",Professional:,1984-1994,, , ,,,,,,,
821,Date:,15-07-1987,15º stage Distance:,164 km,Road – Stage,          Departure:,"    Tarbes (Midi-Pyrenees), France ",              Arrival:,"Blagnac (Midi-Pyrenees), France",,,,Name:,Rolf,Family name:,Gölz,Nationality:,Germany ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Bad Schussenried (Baden-Wurttemberg), Germany ",Professional:,1985-1993,, , ,,,,,,,
822,Date:,16-07-1987,16º stage Distance:,"216,6 km",Road – Stage,          Departure:,"    Blagnac (Midi-Pyrenees), France ",              Arrival:,"Millau (Midi-Pyrenees), France",,,,Name:,Régis,Family name:,Clère,Nationality:,France ,Gender:, ,Age:,55 years,Date of birth:,15-08-1956,Place of birth:,"Langres (Champagne-Ardenne), France ",Date of death:09-06-2012Place of death: ,"    Dijon (Bourgogne), France",Professional:,1981-1992,, , ,,,,,
823,Date:,17-07-1987,17º stage Distance:,239 km,Road – Stage,          Departure:,"    Millau (Midi-Pyrenees), France ",              Arrival:,"Avignon (Provence-Alpes-Cote d'Azur), France",,,,Name:,Jean-Paul,Family name:,Van Poppel,Nationality:,The Netherlands ,Gender:, ,Age:,56  years,Date of birth:,30-09-1962,Place of birth:,"Tilburg (Noord-Brabant), The Netherlands ",Professional:,1985-1995,, , ,,,,,,,
824,Date:,19-07-1987,18º stage Distance:,"36,5 km",Road – Individual Time Trial,          Departure:,"    Carpentras (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Mont Ventoux (Provence-Alpes-Cote d'Azur), France",,,,Name:,Jean-François,Family name:,Bernard,Nationality:,France ,Gender:, ,Age:,57  years,Date of birth:,02-05-1962,Place of birth:,"Luzy (Bourgogne), France ",Professional:,1984-1996,, , ,,,,,,,
825,Date:,20-07-1987,19º stage Distance:,185 km,Road – Stage,          Departure:,"    Valréas (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Villard-de-Lans (Rhone-Alpes), France",,,,Name:,Pedro,Family name:,Delgado Robledo,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,15-04-1960,Place of birth:,"Segovia (Castilla y Leon), Spain ",Professional:,1982-1994,Websites:,http://www.pedrodelgado.com/, , ,,,,,,
826,Date:,21-07-1987,20º stage Distance:,201 km,Road – Stage,          Departure:,"    Villard-de-Lans (Rhone-Alpes), France ",              Arrival:,"L'Alpe-d'Huez (Rhone-Alpes), France",,,,Name:,Federico,Family name:,Etxabe Musatadi,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,20-07-1960,Place of birth:,"Cortézubi (Pais Vasco), Spain ",Professional:,1981-1996,, , ,,,,,,,
827,Date:,22-07-1987,21º stage Distance:,"185,5 km",Road – Stage,          Departure:,"    Le Bourg-d'Oisans (Rhone-Alpes), France ",              Arrival:,"La Plaine (Provence-Alpes-Cote d'Azur), France",,,,Name:,Laurent,Family name:,Fignon,Nationality:,France ,Gender:, ,Age:,50 years,Date of birth:,12-08-1960,Place of birth:,"Paris (Ile-de-France), France ",Date of death:31-08-2010Place of death: ,"    Paris (Ile-de-France), France",Professional:,1982-1993,Commemorations, , ,,,,,
828,Date:,23-07-1987,22º stage Distance:,186 km,Road – Stage,          Departure:,"    La Plagne  (Rhone-Alpes), France ",              Arrival:,"Morzine (Rhone-Alpes), France",,,,Name:,Eduardo,Family name:,Chozas Olmo,Nationality:,Spain ,Gender:, ,Age:,59  years,Date of birth:,05-07-1960,Place of birth:,"Madrid (Madrid), Spain ",Professional:,1980-1993,, , ,,,,,,,
829,Date:,24-07-1987,23º stage Distance:,"224,5 km",Road – Stage,          Departure:,"    Saint-Julien-en-Genevois (Rhone-Alpes), France ",              Arrival:,"Dijon (Bourgogne), France",,,,Name:,Régis,Family name:,Clère,Nationality:,France ,Gender:, ,Age:,55 years,Date of birth:,15-08-1956,Place of birth:,"Langres (Champagne-Ardenne), France ",Date of death:09-06-2012Place of death: ,"    Dijon (Bourgogne), France",Professional:,1981-1992,, , ,,,,,
830,Date:,25-07-1987,24º stage Distance:,38 km,Road – Individual Time Trial,          Departure:,"    Dijon (Bourgogne), France ",              Arrival:,"Dijon (Bourgogne), France",,,,Name:,Jean-François,Family name:,Bernard,Nationality:,France ,Gender:, ,Age:,57  years,Date of birth:,02-05-1962,Place of birth:,"Luzy (Bourgogne), France ",Professional:,1984-1996,, , ,,,,,,,
831,Date:,26-07-1987,25º stage Distance:,192 km,Road – Stage,          Departure:,"    Créteil (Ile-de-France), France ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Jeff,Family name:,Pierce,Nationality:,United States of America ,Gender:, ,Age:,61  years,Date of birth:,20-08-1958,Place of birth:,"San Diego (California), United States of America ",Professional:,1986-1996,, , ,,,,,,,
832,Date:,26-07-1987, Distance:,4231 km,Classification – Road – Young Rider Classification,          Departure:,"    Berlin (Berlin), Germany ",              Arrival:,"Paris (Ile-de-France), France",,,,Name:,Raúl,Family name:,Alcalá Gallegos,Nationality:,Mexico ,Gender:, ,Age:,55  years,Date of birth:,03-03-1964,Place of birth:,"Monterrey (Nuevo Leon), Mexico ",Professional:,1986-1994,, , ,,,,,,,
