,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span,Total Career Span,Full Name
2259,1928-07-15,Total Distance,5377.0,General Classification,,"Paris (Ile-de-France), France",,Nicolas,Frantz,Luxemburg ,N,,1899-04-11,,,,,86 years,1899-04-11,Mamer (Luxembourg), Luxemburg ,08-11-1985,    Luxembourg (Luxembourg), Luxemburg,1922,1934,0,0,0,0,12,0,0,0,0,12,Nicolas Frantz
2286,1927-07-17,Total Distance,5340.0,General Classification,,"Paris (Ile-de-France), France",,Nicolas,Frantz,Luxemburg ,N,,1899-04-11,,,,,86 years,1899-04-11,Mamer (Luxembourg), Luxemburg ,08-11-1985,    Luxembourg (Luxembourg), Luxemburg,1922,1934,0,0,0,0,12,0,0,0,0,12,Nicolas Frantz
2305,1926-07-18,Total Distance,5745.0,General Classification,,"Paris (Ile-de-France), France",,Lucien,Buysse,Belgium ,N,,1892-11-09,,,,,87 years,1892-11-09,Wontergem (Oost-Vlaanderen), Belgium ,03-01-1980,    Deinze (Oost-Vlaanderen), Belgium,1913,1933,0,0,0,0,20,0,0,0,0,20,Lucien Buysse
2325,1925-07-19,Total Distance,5430.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Ottavio,Bottecchia,Italy ,N,,1894-01-08,,,,,32 years,1894-01-08,San Martino (Veneto), Italy ,15-06-1927,    Gemona del Friuli (Friuli-Venezia Giulia), Italy,1922,1927,0,0,0,0,5,0,0,0,0,5,Ottavio Bottecchia
2341,1924-07-20,Total Distance,5425.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Ottavio,Bottecchia,Italy ,N,,1894-01-08,,,,,32 years,1894-01-08,San Martino (Veneto), Italy ,15-06-1927,    Gemona del Friuli (Friuli-Venezia Giulia), Italy,1922,1927,0,0,0,0,5,0,0,0,0,5,Ottavio Bottecchia
2359,1923-07-22,Total Distance,5386.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Henri,Pélissier,France ,N,,1889-01-22,,,,,46 years,1889-01-22,Paris (Ile-de-France), France ,01-05-1935,    Dampierre-en-Yvelines (Ile-de-France), France,1911,1928,0,0,0,0,17,0,0,0,0,17,Henri Pélissier
2375,1922-07-23,Total Distance,5375.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Firmin,Lambot,Belgium ,N,,1886-03-14,,,,,77 years,1886-03-14,Florennes (Namur), Belgium ,19-01-1964,    Borgerhout (Antwerpen), Belgium,1908,1914,1919,1924,0,0,6,5,5,0,0,11,Firmin Lambot
2393,1921-07-24,Total Distance,5484.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Léon,Scieur,Belgium ,N,,1888-03-19,,,,,81 years,1888-03-19,Florennes (Namur), Belgium ,07-10-1969,    Florennes (Namur), Belgium,1913,1925,0,0,0,0,12,0,0,0,0,12,Léon Scieur
2409,1920-07-25,Total Distance,5503.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Philippe,Thys,Belgium ,N,,1889-08-10,,,,,81 years,1889-08-10,Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium ,17-01-1971,    Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium,1912,1927,0,0,0,0,15,0,0,0,0,15,Philippe Thys
2426,1919-07-27,Total Distance,5560.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Firmin,Lambot,Belgium ,N,,1886-03-14,,,,,77 years,1886-03-14,Florennes (Namur), Belgium ,19-01-1964,    Borgerhout (Antwerpen), Belgium,1908,1914,1919,1924,0,0,6,5,5,0,0,11,Firmin Lambot
2443,1914-07-26,Total Distance,5405.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Philippe,Thys,Belgium ,N,,1889-08-10,,,,,81 years,1889-08-10,Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium ,17-01-1971,    Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium,1912,1927,0,0,0,0,15,0,0,0,0,15,Philippe Thys
2461,1913-07-27,Total Distance,5287.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Philippe,Thys,Belgium ,N,,1889-08-10,,,,,81 years,1889-08-10,Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium ,17-01-1971,    Anderlecht (Brussels Hoofdstedelijk Gewest), Belgium,1912,1927,0,0,0,0,15,0,0,0,0,15,Philippe Thys
2478,1912-07-28,Total Distance,5319.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Odiel,Defraeye,Belgium ,N,,1888-07-14,,,,,77 years,1888-07-14,Rumbeke (West-Vlaanderen), Belgium ,21-08-1965,    Bierges (Brabant Wallon), Belgium,1909,1914,1919,1924,0,0,5,5,5,0,0,10,Odiel Defraeye
2494,1911-07-30,Total Distance,5334.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Gustave,Garrigou,France ,N,,1884-09-24,,,,,78 years,1884-09-24,Vabre-Tizac (Midi-Pyrenees), France ,28-01-1963,    Esbly (Ile-de-France), France,1907,1914,0,0,0,0,7,0,0,0,0,7,Gustave Garrigou
2511,1910-07-31,Total Distance,4644.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Octave,Lapize,France ,N,,1887-10-24,,,,,29 years,1887-10-24,Montrouge (Ile-de-France), France ,14-07-1917,    Toul (Lorraine), France,1909,1914,0,0,0,0,5,0,0,0,0,5,Octave Lapize
2528,1909-01-08,Total Distance,4497.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,François,Faber,Luxemburg ,N,,1887-01-26,,,,,28 years,1887-01-26,Aulnay-sur-Iton (Haute-Normandie), France ,09-05-1915,    Carency (Nord-Pas-de-Calais), France,1906,1914,0,0,0,0,8,0,0,0,0,8,François Faber
2544,1908-09-08,Total Distance,4488.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Lucien,Petit-Breton,France ,N,,1882-10-18,,,,,35 years,1882-10-18,Plessé (Pays de la Loire), France ,20-12-1917,    Troyes (Champagne-Ardenne), France,1902,1914,0,0,0,0,12,0,0,0,0,12,Lucien Petit-Breton
2560,1907-04-08,Total Distance,4452.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Lucien,Petit-Breton,France ,N,,1882-10-18,,,,,35 years,1882-10-18,Plessé (Pays de la Loire), France ,20-12-1917,    Troyes (Champagne-Ardenne), France,1902,1914,0,0,0,0,12,0,0,0,0,12,Lucien Petit-Breton
2574,1906-07-29,Total Distance,4545.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,René,Pottier,France ,N,,1879-05-06,,,,,27 years,1879-05-06,Moret-sur-Loing (Ile-de-France), France ,25-01-1907,    Levallois-Perret (Ile-de-France), France,1904,1906,0,0,0,0,2,0,0,0,0,2,René Pottier
2588,1905-07-30,Total Distance,2994.0,General Classification,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France",,Louis,Trousselier,France ,N,,1881-06-29,,,,,57 years,1881-06-29,Paris (Ile-de-France), France ,24-04-1939,    Paris (Ile-de-France), France,1902,1914,0,0,0,0,12,0,0,0,0,12,Louis Trousselier
2595,1904-07-23,Total Distance,2429.0,General Classification,"    Montgeron (Ile-de-France), France ","Paris (Ile-de-France), France",,Henri,Cornet,France ,N,,1884-04-08,,,,,56 years,1884-04-08,Desvres (Nord-Pas-de-Calais), France ,18-03-1941,    Prunay-le-Gillon (Centre), France,1904,1912,0,0,0,0,8,0,0,0,0,8,Henri Cornet
2602,1903-07-19,Total Distance,2428.0,General Classification,,"Paris (Ile-de-France), France",,Maurice,Garin,France ,Y,   ITA ,1871-03-03, 21-12-1901,   FRA ,1901-12-21, 19-02-1957,85 years,1871-03-03,Arvier (Valle d'Aosta), Italy ,19-02-1957,    Lens (Nord-Pas-de-Calais), France,1893,1911,0,0,0,0,18,0,0,0,0,18,Maurice Garin
